D_PROVINCIA;D_MUNICIPIO;D_ESTACION;F_FECHA;D_HORA;'PM10';'PM25';'NO2';'O3';'SO2'
GRANADA                                                                                                                                                                                                                                                   ;ARMILLA                                                                                                                                                                                                                                                   ;CIUDAD DEPORTIVA                                                                                                                                                                                                                                          ;2023/11/24 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;33.258;;10.0;21.75;4.0
GRANADA                                                                                                                                                                                                                                                   ;GRANADA                                                                                                                                                                                                                                                   ;GRANADA-NORTE                                                                                                                                                                                                                                             ;2023/11/24 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;27.844;8.82;35.0;;5.0
GRANADA                                                                                                                                                                                                                                                   ;GRANADA                                                                                                                                                                                                                                                   ;PALACIO DE CONGRESOS                                                                                                                                                                                                                                      ;2023/11/24 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;16.474;11.685;9.0;40.5;14.0
GRANADA                                                                                                                                                                                                                                                   ;MOTRIL                                                                                                                                                                                                                                                    ;MOTRIL                                                                                                                                                                                                                                                    ;2023/11/24 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;18.154;;4.0;77.5;3.0
GRANADA                                                                                                                                                                                                                                                   ;ARMILLA                                                                                                                                                                                                                                                   ;CIUDAD DEPORTIVA                                                                                                                                                                                                                                          ;2023/11/24 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;33.522;;14.0;21.375;4.0
GRANADA                                                                                                                                                                                                                                                   ;GRANADA                                                                                                                                                                                                                                                   ;GRANADA-NORTE                                                                                                                                                                                                                                             ;2023/11/24 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;28.132;8.855;48.0;;5.0
GRANADA                                                                                                                                                                                                                                                   ;GRANADA                                                                                                                                                                                                                                                   ;PALACIO DE CONGRESOS                                                                                                                                                                                                                                      ;2023/11/24 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;16.607;11.736;4.0;43.75;14.0
GRANADA                                                                                                                                                                                                                                                   ;MOTRIL                                                                                                                                                                                                                                                    ;MOTRIL                                                                                                                                                                                                                                                    ;2023/11/24 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;18.368;;4.0;79.625;3.0
GRANADA                                                                                                                                                                                                                                                   ;ARMILLA                                                                                                                                                                                                                                                   ;CIUDAD DEPORTIVA                                                                                                                                                                                                                                          ;2023/11/24 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;33.611;;21.0;20.25;4.0
GRANADA                                                                                                                                                                                                                                                   ;GRANADA                                                                                                                                                                                                                                                   ;GRANADA-NORTE                                                                                                                                                                                                                                             ;2023/11/24 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;28.504;8.925;51.0;;5.0
GRANADA                                                                                                                                                                                                                                                   ;GRANADA                                                                                                                                                                                                                                                   ;PALACIO DE CONGRESOS                                                                                                                                                                                                                                      ;2023/11/24 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;16.651;11.736;10.0;43.25;15.0
GRANADA                                                                                                                                                                                                                                                   ;MOTRIL                                                                                                                                                                                                                                                    ;MOTRIL                                                                                                                                                                                                                                                    ;2023/11/24 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;18.583;;4.0;79.875;3.0
GRANADA                                                                                                                                                                                                                                                   ;ARMILLA                                                                                                                                                                                                                                                   ;CIUDAD DEPORTIVA                                                                                                                                                                                                                                          ;2023/11/24 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;33.743;;30.0;20.0;4.0
GRANADA                                                                                                                                                                                                                                                   ;GRANADA                                                                                                                                                                                                                                                   ;GRANADA-NORTE                                                                                                                                                                                                                                             ;2023/11/24 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;28.586;9.1;55.0;;6.0
GRANADA                                                                                                                                                                                                                                                   ;GRANADA                                                                                                                                                                                                                                                   ;PALACIO DE CONGRESOS                                                                                                                                                                                                                                      ;2023/11/24 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;16.651;11.941;29.0;39.875;15.0
GRANADA                                                                                                                                                                                                                                                   ;MOTRIL                                                                                                                                                                                                                                                    ;MOTRIL                                                                                                                                                                                                                                                    ;2023/11/24 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;19.141;;8.0;79.25;3.0
GRANADA                                                                                                                                                                                                                                                   ;ARMILLA                                                                                                                                                                                                                                                   ;CIUDAD DEPORTIVA                                                                                                                                                                                                                                          ;2023/11/24 00:00:00.000000000;09:00                                                                                                                                                                                                                                                     ;33.876;;31.0;16.875;5.0
GRANADA                                                                                                                                                                                                                                                   ;GRANADA                                                                                                                                                                                                                                                   ;GRANADA-NORTE                                                                                                                                                                                                                                             ;2023/11/24 00:00:00.000000000;09:00                                                                                                                                                                                                                                                     ;28.545;9.38;68.0;;7.0
GRANADA                                                                                                                                                                                                                                                   ;GRANADA                                                                                                                                                                                                                                                   ;PALACIO DE CONGRESOS                                                                                                                                                                                                                                      ;2023/11/24 00:00:00.000000000;09:00                                                                                                                                                                                                                                                     ;16.562;11.89;51.0;34.75;14.0
GRANADA                                                                                                                                                                                                                                                   ;MOTRIL                                                                                                                                                                                                                                                    ;MOTRIL                                                                                                                                                                                                                                                    ;2023/11/24 00:00:00.000000000;09:00                                                                                                                                                                                                                                                     ;19.398;;35.0;72.125;3.0
GRANADA                                                                                                                                                                                                                                                   ;ARMILLA                                                                                                                                                                                                                                                   ;CIUDAD DEPORTIVA                                                                                                                                                                                                                                          ;2023/11/24 00:00:00.000000000;10:00                                                                                                                                                                                                                                                     ;33.964;;38.0;14.5;5.0
GRANADA                                                                                                                                                                                                                                                   ;GRANADA                                                                                                                                                                                                                                                   ;GRANADA-NORTE                                                                                                                                                                                                                                             ;2023/11/24 00:00:00.000000000;10:00                                                                                                                                                                                                                                                     ;28.132;9.485;74.0;;8.0
GRANADA                                                                                                                                                                                                                                                   ;GRANADA                                                                                                                                                                                                                                                   ;PALACIO DE CONGRESOS                                                                                                                                                                                                                                      ;2023/11/24 00:00:00.000000000;10:00                                                                                                                                                                                                                                                     ;16.43;11.634;38.0;31.75;15.0
GRANADA                                                                                                                                                                                                                                                   ;MOTRIL                                                                                                                                                                                                                                                    ;MOTRIL                                                                                                                                                                                                                                                    ;2023/11/24 00:00:00.000000000;10:00                                                                                                                                                                                                                                                     ;19.742;;40.0;65.125;3.0
GRANADA                                                                                                                                                                                                                                                   ;ARMILLA                                                                                                                                                                                                                                                   ;CIUDAD DEPORTIVA                                                                                                                                                                                                                                          ;2023/11/24 00:00:00.000000000;11:00                                                                                                                                                                                                                                                     ;33.611;;34.0;14.875;5.0
