D_PROVINCIA;D_MUNICIPIO;D_ESTACION;F_FECHA;D_HORA;'PM10';'PM25';'NO2';'O3';'SO2'
MALAGA                                                                                                                                                                                                                                                    ;CAMPILLOS                                                                                                                                                                                                                                                 ;CAMPILLOS                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;;4.83;5.0;109.25;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;AVENIDA JUAN XXIII                                                                                                                                                                                                                                        ;2023/03/05 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;29.148;;37.0;;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CAMPANILLAS                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;16.905;10.733;15.0;77.375;6.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CARRANQUE                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;22.75;9.533;37.0;75.0;2.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;EL ATABAL                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;16.409;;15.0;87.875;3.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;MÁLAGA-ESTE                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;;;5.0;97.25;1.0
MALAGA                                                                                                                                                                                                                                                    ;MARBELLA                                                                                                                                                                                                                                                  ;MARBELLA ARCO                                                                                                                                                                                                                                             ;2023/03/05 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;;;11.0;69.375;3.0
MALAGA                                                                                                                                                                                                                                                    ;CAMPILLOS                                                                                                                                                                                                                                                 ;CAMPILLOS                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;04:00                                                                                                                                                                                                                                                     ;;4.909;5.0;108.0;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;AVENIDA JUAN XXIII                                                                                                                                                                                                                                        ;2023/03/05 00:00:00.000000000;04:00                                                                                                                                                                                                                                                     ;28.325;;33.0;;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CAMPANILLAS                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;04:00                                                                                                                                                                                                                                                     ;17.058;11.0;13.0;71.375;6.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CARRANQUE                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;04:00                                                                                                                                                                                                                                                     ;22.793;9.633;37.0;66.75;2.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;EL ATABAL                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;04:00                                                                                                                                                                                                                                                     ;16.45;;9.0;83.5;3.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;MÁLAGA-ESTE                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;04:00                                                                                                                                                                                                                                                     ;;;2.0;94.125;1.0
MALAGA                                                                                                                                                                                                                                                    ;MARBELLA                                                                                                                                                                                                                                                  ;MARBELLA ARCO                                                                                                                                                                                                                                             ;2023/03/05 00:00:00.000000000;04:00                                                                                                                                                                                                                                                     ;;;9.0;67.625;3.0
MALAGA                                                                                                                                                                                                                                                    ;CAMPILLOS                                                                                                                                                                                                                                                 ;CAMPILLOS                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;;4.909;5.0;106.625;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;AVENIDA JUAN XXIII                                                                                                                                                                                                                                        ;2023/03/05 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;27.675;;42.0;;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CAMPANILLAS                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;17.058;11.3;10.0;66.375;6.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CARRANQUE                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;22.447;9.4;24.0;60.25;2.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;EL ATABAL                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;15.722;;7.0;81.625;3.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;MÁLAGA-ESTE                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;;;3.0;92.0;2.0
MALAGA                                                                                                                                                                                                                                                    ;MARBELLA                                                                                                                                                                                                                                                  ;MARBELLA ARCO                                                                                                                                                                                                                                             ;2023/03/05 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;;;9.0;69.625;3.0
MALAGA                                                                                                                                                                                                                                                    ;CAMPILLOS                                                                                                                                                                                                                                                 ;CAMPILLOS                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;;4.961;4.0;105.375;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;AVENIDA JUAN XXIII                                                                                                                                                                                                                                        ;2023/03/05 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;27.198;;32.0;;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CAMPANILLAS                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;16.56;11.067;8.0;63.0;6.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CARRANQUE                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;21.753;9.033;39.0;53.375;2.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;EL ATABAL                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;14.995;;8.0;81.375;3.0
