D_PROVINCIA;D_MUNICIPIO;D_ESTACION;F_FECHA;D_HORA;'PM10';'PM25';'NO2';'O3';'SO2'
CORDOBA                                                                                                                                                                                                                                                   ;ESPIEL                                                                                                                                                                                                                                                    ;POBLADO                                                                                                                                                                                                                                                   ;2023/02/03 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;9.502;;4.0;;3.0
CORDOBA                                                                                                                                                                                                                                                   ;OBEJO                                                                                                                                                                                                                                                     ;OBEJO                                                                                                                                                                                                                                                     ;2023/02/03 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;;;;;
CORDOBA                                                                                                                                                                                                                                                   ;VILLAHARTA                                                                                                                                                                                                                                                ;VILLAHARTA                                                                                                                                                                                                                                                ;2023/02/03 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;;8.456;3.0;;5.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;ASOMADILLA                                                                                                                                                                                                                                                ;2023/02/03 00:00:00.000000000;04:00                                                                                                                                                                                                                                                     ;31.746;;7.0;48.0;3.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;AVDA. AL-NASIR                                                                                                                                                                                                                                            ;2023/02/03 00:00:00.000000000;04:00                                                                                                                                                                                                                                                     ;51.255;;41.0;;5.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;LEPANTO                                                                                                                                                                                                                                                   ;2023/02/03 00:00:00.000000000;04:00                                                                                                                                                                                                                                                     ;38.025;24.336;13.0;15.625;3.0
CORDOBA                                                                                                                                                                                                                                                   ;ESPIEL                                                                                                                                                                                                                                                    ;POBLADO                                                                                                                                                                                                                                                   ;2023/02/03 00:00:00.000000000;04:00                                                                                                                                                                                                                                                     ;9.45;;3.0;;4.0
CORDOBA                                                                                                                                                                                                                                                   ;OBEJO                                                                                                                                                                                                                                                     ;OBEJO                                                                                                                                                                                                                                                     ;2023/02/03 00:00:00.000000000;04:00                                                                                                                                                                                                                                                     ;;;;;
CORDOBA                                                                                                                                                                                                                                                   ;VILLAHARTA                                                                                                                                                                                                                                                ;VILLAHARTA                                                                                                                                                                                                                                                ;2023/02/03 00:00:00.000000000;04:00                                                                                                                                                                                                                                                     ;;8.456;3.0;;5.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;ASOMADILLA                                                                                                                                                                                                                                                ;2023/02/03 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;32.064;;8.0;45.75;3.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;AVDA. AL-NASIR                                                                                                                                                                                                                                            ;2023/02/03 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;50.355;;50.0;;5.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;LEPANTO                                                                                                                                                                                                                                                   ;2023/02/03 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;38.16;24.336;15.0;16.875;3.0
CORDOBA                                                                                                                                                                                                                                                   ;ESPIEL                                                                                                                                                                                                                                                    ;POBLADO                                                                                                                                                                                                                                                   ;2023/02/03 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;9.45;;3.0;;3.0
CORDOBA                                                                                                                                                                                                                                                   ;OBEJO                                                                                                                                                                                                                                                     ;OBEJO                                                                                                                                                                                                                                                     ;2023/02/03 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;;;;;
CORDOBA                                                                                                                                                                                                                                                   ;VILLAHARTA                                                                                                                                                                                                                                                ;VILLAHARTA                                                                                                                                                                                                                                                ;2023/02/03 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;;8.494;2.0;;5.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;ASOMADILLA                                                                                                                                                                                                                                                ;2023/02/03 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;32.518;;10.0;44.25;3.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;AVDA. AL-NASIR                                                                                                                                                                                                                                            ;2023/02/03 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;50.04;;49.0;;5.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;LEPANTO                                                                                                                                                                                                                                                   ;2023/02/03 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;38.34;24.38;17.0;19.25;3.0
CORDOBA                                                                                                                                                                                                                                                   ;ESPIEL                                                                                                                                                                                                                                                    ;POBLADO                                                                                                                                                                                                                                                   ;2023/02/03 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;;;3.0;;4.0
CORDOBA                                                                                                                                                                                                                                                   ;OBEJO                                                                                                                                                                                                                                                     ;OBEJO                                                                                                                                                                                                                                                     ;2023/02/03 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;;;;;
CORDOBA                                                                                                                                                                                                                                                   ;VILLAHARTA                                                                                                                                                                                                                                                ;VILLAHARTA                                                                                                                                                                                                                                                ;2023/02/03 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;;8.609;2.0;;5.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;ASOMADILLA                                                                                                                                                                                                                                                ;2023/02/03 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;33.063;;10.0;41.625;3.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;AVDA. AL-NASIR                                                                                                                                                                                                                                            ;2023/02/03 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;50.4;;43.0;;5.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;LEPANTO                                                                                                                                                                                                                                                   ;2023/02/03 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;38.565;24.512;23.0;20.75;3.0
